order_id,customer_id,product_id,quantity,order_date,order_status
109,4,109,3,4/25/2024,Completed
110,5,110,2,4/26/2024,Completed
111,6,101,1,4/27/2024,Completed
112,7,102,2,4/28/2024,Pending
113,8,103,3,4/29/2024,Completed
114,9,104,1,4/30/2024,Completed
115,10,105,2,05/01/2024,Completed
116,11,106,3,05/02/2024,Completed
117,12,107,1,05/03/2024,Pending
118,13,108,4,05/04/2024,Completed
119,14,109,2,05/05/2024,Cancelled
120,15,110,3,05/06/2024,Completed
121,1,101,1,05/07/2024,Completed
122,2,102,2,05/08/2024,Pending
123,3,103,3,05/09/2024,Completed
124,4,104,1,05/10/2024,Completed
125,5,105,2,05/11/2024,Completed
126,6,106,1,05/12/2024,Completed
127,7,107,3,5/13/2024,Pending
128,8,108,2,5/14/2024,Completed
129,9,109,4,5/15/2024,Completed
130,10,110,1,5/16/2024,Completed
131,11,101,2,5/17/2024,Completed
132,12,102,3,5/18/2024,Pending
133,13,103,1,5/19/2024,Completed
134,14,104,2,5/20/2024,Completed
135,15,105,3,5/21/2024,Completed
136,1,106,1,5/22/2024,Completed
137,2,107,4,5/23/2024,Pending
138,3,108,2,5/24/2024,Completed
139,4,109,3,5/25/2024,Completed
140,5,110,1,5/26/2024,Completed
141,6,101,2,5/27/2024,Completed
142,7,102,1,5/28/2024,Pending
143,8,103,2,5/29/2024,Completed
144,9,104,3,5/30/2024,Completed
145,10,105,2,5/31/2024,Completed
146,11,106,1,06/01/2024,Completed
147,12,107,4,06/02/2024,Pending
148,13,108,2,06/03/2024,Completed
149,14,109,3,06/04/2024,Completed
150,15,110,1,06/05/2024,Completed
151,1,101,3,06/06/2024,Completed
152,2,102,2,06/07/2024,Pending
153,3,103,1,06/08/2024,Completed
154,4,104,4,06/09/2024,Completed
155,5,105,2,06/10/2024,Completed
156,6,106,3,06/11/2024,Completed
157,7,107,2,06/12/2024,Pending
158,8,108,1,6/13/2024,Completed
159,9,109,3,6/14/2024,Completed
160,10,110,2,6/15/2024,Completed
161,11,101,1,6/16/2024,Completed
162,12,102,3,6/17/2024,Pending
163,13,103,2,6/18/2024,Completed
164,14,104,1,6/19/2024,Completed
165,15,105,4,6/20/2024,Completed
166,1,106,2,6/21/2024,Completed
167,2,107,3,6/22/2024,Pending
168,3,108,1,6/23/2024,Completed
169,4,109,2,6/24/2024,Completed
170,5,110,3,6/25/2024,Completed
171,6,101,1,6/26/2024,Completed
172,7,102,2,6/27/2024,Pending
173,8,103,3,6/28/2024,Completed
174,9,104,1,6/29/2024,Completed
175,10,105,2,6/30/2024,Completed
176,11,106,3,07/01/2024,Completed
177,12,107,2,07/02/2024,Pending
178,13,108,1,07/03/2024,Completed
179,14,109,3,07/04/2024,Completed
180,15,110,2,07/05/2024,Completed
181,1,101,1,07/06/2024,Completed
182,2,102,2,07/07/2024,Pending
183,3,103,3,07/08/2024,Completed
184,4,104,1,07/09/2024,Completed
185,5,105,2,07/10/2024,Completed
186,6,106,3,07/11/2024,Completed
187,7,107,2,07/12/2024,Pending
188,8,108,1,7/13/2024,Completed
189,9,109,3,7/14/2024,Completed
190,10,110,2,7/15/2024,Completed
191,11,101,2,7/16/2024,Completed
192,12,102,1,7/17/2024,Pending
193,13,103,3,7/18/2024,Completed
194,14,104,2,7/19/2024,Completed
195,15,105,1,7/20/2024,Completed
196,1,106,4,7/21/2024,Completed
197,2,107,2,7/22/2024,Pending
198,3,108,1,7/23/2024,Completed
199,4,109,3,7/24/2024,Completed
200,5,110,2,7/25/2024,Completed
